5370,32684,47416
50576,36657,47067
81216,77932,88744
26014,71483,56637
93100,35760,25348
53636,26550,49908
8762,79604,84002
54152,48622,83231
42843,85172,85591
78311,51264,32667
8978,47449,86125
13542,55797,94088
52467,55171,82851
83138,91898,64572
66649,6522,43593
78010,65055,84448
55462,73210,95831
5939,77777,27955
80037,77215,23522
44670,37343,77063
43361,52692,50672
71204,15252,96837
79631,59459,74410
22649,56384,80097
26124,52033,50180
74708,67310,86116
13688,87510,51113
79789,97363,87714
28199,60995,29098
28803,87812,50176
42604,85,57721
5976,6902,53103
44552,43275,63677
57221,51946,51549
42425,27699,83789
74532,63477,87598
61289,86959,95188
47844,76826,38030
37643,82620,2892
93084,15746,19013
32346,40104,79137
68519,66135,83166
95032,85781,88322
94296,48225,17970
85856,63450,15661
91773,24505,75271
92224,98382,83288
53978,10917,68450
61002,84108,21018
56295,90888,16153
79048,67081,57416
60313,31493,92848
83948,18160,58025
67823,16508,86907
26929,94029,39232
31918,39023,22591
26573,74122,95796
41147,28882,95960
85707,14306,47501
74503,98519,42008
36470,97513,30767
44095,56911,77658
60461,91262,51255
23967,41157,90137
24811,56386,84712
89628,56642,9086
79177,17117,77904
87628,79246,25993
79251,52486,37763
53630,47975,51414
39554,53840,6189
22277,95274,96376
72695,18936,40095
74026,9791,60221
17577,44603,31750
76890,65751,69594
41526,96394,33352
16041,56373,99391
57875,25172,69681
46000,22365,46413
46158,71048,58674
3391,39108,4898
85784,28643,63451
85217,12320,43885
25532,82329,12681
4983,52676,89949
21536,96568,41775
9458,17482,85559
49636,30852,64370
239,28759,40535
99422,30203,4106
44822,47438,69988
30241,19871,66917
96932,37970,91573
9114,62465,6999
22258,77325,30100
741,70851,89012
46724,93525,87077
65692,33941,64401
62458,48534,20220
38281,57068,74842
53174,20386,43434
61329,74432,97186
1562,53594,61290
2897,82189,92268
32704,69258,50965
59863,39279,64814
82916,48801,54015
73147,94392,91097
12839,75143,55229
19579,20791,63854
95524,65731,4449
90234,13835,11771
6237,79979,63175
96255,48220,74929
70873,60732,47287
93629,72469,27007
10054,14361,69662
13493,32926,7445
70174,57944,53383
62286,22702,81009
54480,6210,13415
39425,91684,17646
59094,13208,54398
24136,84876,2409
72910,7465,56947
75524,53107,33100
99562,83520,48143
81265,34866,96020
29751,92049,68261
15066,87033,89824
3279,8078,81882
23213,11116,76343
15940,29432,31149
35271,91671,96902
21039,44509,71214
81710,66541,52231
81734,13436,61160
40747,79689,68612
60505,8118,52379
68032,43130,40680
1195,72407,82952
17817,53883,72576
73798,6679,93786
41229,86447,10021
62372,86711,76642
4157,91402,12234
69267,71079,95903
79996,91293,83948
15763,36421,12600
38844,28596,6696
29615,48502,79602
81870,18439,81656
34911,25283,19984
70905,76704,25453
54482,44264,23683
35838,2805,2639
95682,16981,20287
54593,2019,40262
49743,88491,39132
14329,84938,63198
42907,52594,66758
5196,77472,43225
10682,30612,17193
99706,6748,54123
17729,31216,69213
86954,90484,56259
61462,67782,21476
1731,77773,62817
78668,52049,24313
34848,63302,91232
30701,30803,1872
74738,15811,9144
81415,70096,78764
3055,76034,66434
41569,44230,35378
6192,13383,1671
33695,78716,9183
87148,52471,9021
45760,56127,71165
7442,64744,72429
13815,31879,31964
84670,77952,76012
22367,80558,4118
89617,84197,85058
16109,73797,50809
63912,24829,70432
25724,94162,82131
84985,50125,97547
49434,81509,92378
75620,2092,62418
98267,82251,81816
70413,57105,60047
81882,10792,72642
12904,63790,6773
55612,93323,58768
44100,54838,26477
66372,92142,21049
44996,77883,73339
8135,60884,90789
89804,93494,91072
47867,62187,76805
88419,99889,30876
56092,13333,13547
60761,93889,35663
98374,58204,63831
50685,20363,90554
99802,65504,81129
15404,73244,97250
35199,7229,67984
76333,72962,74736
51724,66488,31327
12220,5798,68450
90156,24652,43665
31082,41381,18946
48964,38418,64527
5457,97336,4189
31584,4920,96030
88326,84030,89854
11143,49317,52898
97149,35749,78836
20494,54084,40850
93216,80325,44989
4689,12415,34638
74882,20410,69081
60284,31931,75014
6276,71358,17687
88131,35755,47816
65840,13077,3342
84063,52317,77291
2763,30286,65727
68332,73938,55910
43767,25624,40651
2339,32415,49039
80917,17886,17816
81718,71506,78046
50295,16328,16600
98944,93823,37981
15415,507,17890
81415,71152,81788
10388,99609,15272
36592,45998,22120
58938,79372,43469
6955,74508,25102
94005,44283,11892
91879,31123,64645
20154,80294,37245
1310,47091,51600
74176,95056,47126
39556,71317,50761
29527,14111,77972
25943,8676,83924
62891,70785,80382
8079,36735,42502
92678,53246,50709
81130,26235,13185
39158,82652,63755
23953,85448,13605
45186,95916,91502
30964,57168,16714
72500,55046,42201
96333,12776,71493
82047,53734,47918
42229,77870,25436
55509,92642,28668
90964,74462,22604
82269,2383,45182
98237,77364,9216
92078,7359,8781
33572,11525,68163
75113,59997,95092
34022,21495,11460
5746,29160,79883
26804,37066,24660
64205,90003,59130
41839,72597,80678
83446,72716,29022
75762,40526,83470
1832,80044,42054
16620,28292,58901
12904,7779,57379
89128,1886,61514
74766,96769,72473
92751,65364,66741
1889,91820,91857
54194,77778,45396
59804,7737,33044
76797,8344,99277
40720,18399,13342
3168,49483,8883
40041,51231,56660
7801,3354,21976
27363,30313,24692
77665,96540,43102
48686,6997,63808
97349,55767,42744
70378,51608,77001
21116,52500,3449
55854,14770,98566
77361,73048,75608
7317,32774,40962
51984,95054,61678
14107,22023,30965
43702,53367,98770
74822,47073,20474
91394,41611,88284
82471,40948,46953
49293,36028,20144
77287,58148,50707
88461,44173,53183
6768,10721,95199
9874,14649,76548
69916,27300,43670
36847,71057,63633
20250,2312,14748
19443,40276,18176
82154,87707,55553
42662,5430,90722
65168,57238,27170
78492,64196,31706
1935,69263,64767
52745,95520,20682
18718,10908,50429
56368,92902,77612
49592,65537,3919
3747,33505,97694
30136,37563,24273
96530,27432,8071
32899,39939,68059
6660,79978,61080
57177,44012,34467
29553,11618,69874
67680,34722,83509
43046,60365,74164
95932,89585,77485
49777,17664,14673
9205,79686,23232
52839,45888,64422
67469,81214,21334
96468,169,49277
91078,70032,76325
28330,63499,56427
96135,75842,30545
34791,72109,79108
44780,59700,49172
63655,10692,59745
48911,62997,33999
74217,17614,74932
44320,79872,96407
17295,47749,44417
12851,23357,8549
77161,99219,28598
17717,66442,51395
30025,3113,85343
51707,94334,26151
76265,32922,38882
6979,56593,72465
60369,19147,14483
85000,80533,99807
29400,57144,69731
68827,76958,14985
91357,34061,83772
78254,39570,57553
33990,74824,66050
53385,95019,26270
68751,99974,2362
75539,46048,53412
608,87587,66880
2039,84420,84663
23717,72224,75901
71816,86997,79987
46221,2190,72752
79463,74108,33377
38887,26942,92830
38374,98939,5432
23313,80558,57642
19818,13030,10197
42238,14537,89230
28900,3032,5169
7947,32388,51078
81002,6140,35233
69207,88913,88558
3617,92850,69064
50439,43661,91435
82015,25536,78767
60749,54671,81379
85460,46767,21820
61567,74209,86424
51265,1711,1116
58965,97067,51083
74514,70392,18258
97369,94622,34485
53531,75207,96319
97655,37622,99786
87694,75956,46764
90801,17833,14733
41344,76988,14659
42359,38647,11634
950,6070,60469
403,87601,50960
5181,86974,17050
22783,45117,53114
65715,45082,34442
38343,37204,84717
74038,42291,82812
83926,45641,38665
62900,98024,32192
53607,22624,45884
52901,69750,54331
4753,85272,38703
82764,75195,30702
73795,59867,8411
21254,58067,35146
43277,11811,22525
62552,18,60751
11221,73143,40704
63123,63611,37295
42831,60345,73640
33938,63564,39984
68190,55877,60798
46045,25631,98269
8782,15365,95554
85975,15675,17621
2150,99196,47027
16698,11526,5131
50859,58833,14618
16493,98941,80227
45560,90895,26142
73407,95793,93939
667,50410,48255
